|id|theme|question|answer|theme_id|correct_choice|indice|
|--|-----|--------|------|--------|--------------|------|
|1|Culture générale|Quelle est la capitale de la France ?|Paris|1|2|Ville lumière traversée par la Seine|
|2|Culture générale|Quel élément chimique a pour symbole O ?|Oxygène|1|2|Gaz indispensable à la respiration|
|3|Culture générale|Combien de continents y a-t-il sur Terre ?|7|1|2|On en compte officiellement sept|
|4|Culture générale|Qui a écrit "Le Petit Prince" ?|Antoine de Saint-Exupéry|1|2|Écrivain et aviateur français|
|5|Culture générale|Quelle est la langue la plus parlée dans le monde ?|Mandarin|1|1|Langue la plus parlée en Chine|
|6|Culture générale|Quel est le plus grand océan du monde ?|Océan Pacifique|1|2|Il sépare principalement l'Asie de l'Amérique|
|7|Culture générale|En quelle année a eu lieu la chute du mur de Berlin ?|1989|1|3|Fin symbolique de la guerre froide|
|8|Culture générale|Combien de couleurs y a-t-il dans un arc-en-ciel ?|7|1|2|On les apprend souvent avec un moyen mnémotechnique|
|9|Culture générale|Quelle planète est surnommée la planète rouge ?|Mars|1|1|Planète voisine souvent visée par les missions spatiales|
|10|Culture générale|Quelle est la monnaie officielle du Japon ?|Yen|1|2|Monnaie dont le symbole ressemble à un Y barré|
|11|Culture générale|Qui a peint la Joconde ?|Léonard de Vinci|1|4|Tableau emblématique exposé au Louvre|
|12|Culture générale|Quel est le plus grand pays du monde par superficie ?|Russie|1|1|Il s'étend sur l'Europe et l'Asie|
|13|Culture générale|Quelle est la capitale de l’Australie ?|Canberra|1|3|Ce n'est ni Sydney ni Melbourne|
|14|Culture générale|Quel est le nom de la plus haute montagne du monde ?|Everest|1|2|Sommet de plus de 8 000 mètres dans l'Himalaya|
|15|Culture générale|En quelle année l’homme a-t-il marché sur la Lune pour la première fois ?|1969|1|2|Mission Apollo 11|
|16|Culture générale|Quel est le symbole chimique de l’or ?|Au|1|3|Abréviation issue du mot latin "aurum"|
|17|Culture générale|Qui a écrit "Les Misérables" ?|Victor Hugo|1|2|Grand écrivain français du XIXe siècle|
|18|Culture générale|Quel est le nom du phénomène d’odeur de terre après la pluie ?|Pétrichor|1|3|Nom scientifique de l'odeur après un orage|
|19|Culture générale|Combien y a‑t‑il de langues officielles dans l’Union européenne (après le Brexit) ?|24|1|2|Un peu plus de vingt mais moins de trente|
|20|Culture générale|En quelle année Albert Einstein est‑il mort ?|1955|1|3|Décès au milieu des années 1950|
|21|Culture générale|Quel pays a offert la Statue de la Liberté aux États-Unis ?|France|1|2|Cadeau d’amitié venu d’Europe|
|22|Culture générale|Quel est le plus petit os du corps humain ?|Étrier|1|3|Il se trouve dans l’oreille|
|23|Culture générale|Quel scientifique a formulé la loi de la gravitation universelle ?|Isaac Newton|1|1|La légende parle d’une pomme|
|24|Culture générale|Quelle planète du système solaire est la plus grande ?|Jupiter|1|4|Géante gazeuse célèbre pour sa grande tache rouge|
|25|Culture générale|Quelle est la capitale de l’Argentine ?|Buenos Aires|1|2|Grande ville d’Amérique du Sud connue pour le tango|
|26|Culture générale|Quel métal liquide trouve-t-on à température ambiante ?|Mercure|1|1|Élément chimique aussi nommé comme une planète|
|27|Culture générale|Qui a découvert la pénicilline ?|Alexander Fleming|1|3|Découverte médicale accidentelle en laboratoire|
|28|Culture générale|Dans quel pays se trouve la ville de Marrakech ?|Maroc|1|2|Pays du Maghreb voisin de l’Algérie|
|29|Culture générale|Quel est le plus grand mammifère du monde ?|Baleine bleue|1|4|Animal marin géant|
|30|Culture générale|Quelle est la devise officielle de l’Union européenne ?|Unie dans la diversité|1|1|Elle évoque l’unité malgré les différences|
|31|Culture générale|Quel organe du corps humain produit l’insuline ?|Pancréas|1|2|Organe lié aussi à la digestion|
|32|Culture générale|Quel est le plus long os du corps humain ?|Fémur|1|3|Os principal de la cuisse|
|33|Culture générale|Qui a peint "La Nuit étoilée" ?|Vincent van Gogh|1|2|Peintre néerlandais à l’oreille célèbre|
|34|Culture générale|Quel est le nom de l’étoile au centre du système solaire ?|Soleil|1|1|Sans elle, pas de jour sur Terre|
|35|Culture générale|Quelle mer sépare l’Europe de l’Afrique à l’ouest de l’Italie ?|Mer Méditerranée|1|4|Mer intérieure bordée par plusieurs pays du sud|
|36|Culture générale|Quel gaz les plantes absorbent-elles principalement pour la photosynthèse ?|Dioxyde de carbone|1|2|Gaz rejeté par la respiration humaine|
|37|Culture générale|Quelle est la capitale de la Suède ?|Stockholm|1|3|Capitale scandinave construite sur des îles|
|38|Culture générale|Qui a écrit "L’Odyssée" ?|Homère|1|1|Auteur grec antique aussi lié à l’Iliade|
|39|Culture générale|Quel est le principal composant du verre classique ?|Silice|1|2|On la trouve notamment dans le sable|
|40|Culture générale|Quelle invention est attribuée à Johannes Gutenberg ?|Imprimerie|1|4|Elle a révolutionné la diffusion des livres|
|41|Musique|Quel groupe a chanté Bohemian Rhapsody ?|Queen|2|3|Groupe de rock britannique mene par Freddie Mercury|
